Date,Ethereum,Ronin,Flow,Solana,WAX,Polygon,Tezos,Panini,BNB Chain,Theta,Avalanche
2020-06-14,182921.7302740808,0.0,0.0,0.0,55964.09841354168,0.0,0.0,9317.07,0.0,0.0,0.0
2020-06-21,134188.29257514654,0.0,0.0,0.0,26059.93308109683,0.0,0.0,5760.07,0.0,0.0,0.0
2020-06-28,116617.4321132155,0.0,0.0,0.0,41889.69200205282,0.0,0.0,9126.07,0.0,0.0,0.0
2020-07-05,182129.7393796452,0.0,0.0,0.0,43372.06579923019,0.0,0.0,70870.5,0.0,0.0,0.0
2020-07-12,127287.2105661519,0.0,0.0,0.0,146283.20705076057,0.0,0.0,45512.3,0.0,0.0,0.0
2020-07-19,147920.12266121834,0.0,0.0,0.0,124352.70993212285,0.0,0.0,37015.69,0.0,0.0,0.0
2020-07-26,165819.1232112642,0.0,10639.0,0.0,137406.94355459482,0.0,0.0,46477.69,0.0,0.0,0.0
2020-08-02,158995.70234862145,0.0,35047.0,0.0,124714.77136507971,0.0,0.0,70362.4,0.0,0.0,0.0
2020-08-09,126661.92278415084,0.0,53415.0,0.0,128479.25675951,0.0,0.0,44620.3,0.0,0.0,0.0
2020-08-16,152405.227898112,0.0,24290.0,0.0,125529.001134768,0.0,0.0,67254.04000000001,0.0,0.0,0.0
2020-08-23,307764.6137428611,0.0,27396.0,0.0,122997.95644427856,0.0,0.0,64459.52,0.0,0.0,0.0
2020-08-30,187279.0946187787,0.0,36286.0,0.0,79076.28663452037,0.0,0.0,52841.06,0.0,0.0,0.0
2020-09-06,451048.3710069349,0.0,44785.0,0.0,97980.42752121267,0.0,0.0,42571.41,0.0,0.0,0.0
2020-09-13,798905.195834746,0.0,42689.0,0.0,90635.81646576816,0.0,0.0,54816.03,0.0,0.0,0.0
2020-09-20,1920889.2258978388,0.0,47712.0,0.0,123015.58144372016,0.0,0.0,55180.41,0.0,0.0,0.0
2020-09-27,2230982.3517753314,0.0,151802.0,0.0,131611.63141682418,0.0,0.0,46818.23,0.0,0.0,0.0
2020-10-04,1327111.842611731,0.0,160205.0,0.0,131484.1795621321,0.0,0.0,53805.26,0.0,0.0,0.0
2020-10-11,735908.8544657701,0.0,91687.0,0.0,133113.63724034672,0.0,0.0,21037.32,0.0,0.0,0.0
2020-10-18,857412.34685689,0.0,272486.0,0.0,46399.48497202393,0.0,0.0,30419.18,0.0,0.0,0.0
2020-10-25,766471.5396847461,0.0,222270.0,0.0,39330.981018343875,0.0,0.0,17689.690000000002,0.0,0.0,0.0
2020-11-01,764472.5046720771,0.0,120065.0,0.0,64885.39621511624,0.0,0.0,19824.010000000002,0.0,0.0,0.0
2020-11-08,926712.9088837247,0.0,50325.0,0.0,69187.80058385871,0.0,0.0,22592.78,0.0,0.0,0.0
2020-11-15,970438.5428699333,0.0,66934.0,0.0,104062.94973493111,0.0,0.0,26602.16,0.0,0.0,0.0
2020-11-22,757021.9206794589,0.0,66117.0,0.0,61737.93175873241,0.0,0.0,33268.96,0.0,0.0,0.0
2020-11-29,993443.349377515,0.0,75463.0,0.0,111461.82202054624,1.1536715159576882e-11,0.0,27601.58,0.0,0.0,0.0
2020-12-06,680505.5158525835,0.0,78895.0,0.0,97681.63490645065,0.0,0.0,30701.94,0.0,0.0,0.0
2020-12-13,567963.1920752296,0.0,125611.0,0.0,265498.37628335407,1.2312829774465718e-06,0.0,30179.35,0.0,0.0,0.0
2020-12-20,1448335.4026530057,0.0,293278.0,0.0,789376.8741431227,1.3957862643465546e-11,0.0,10676.0,0.0,0.0,0.0
2020-12-27,1027280.6311265731,0.0,483854.0,0.0,303834.27644067374,4.348988270203025e-11,0.0,31752.0,0.0,0.0,0.0
2021-01-03,2158207.9060899876,0.0,1200078.0,0.0,332112.3654752911,4.8646516502548476e-11,0.0,23393.0,0.0,0.0,0.0
2021-01-10,1681881.6386351138,0.0,2852761.0,0.0,367230.1357742318,1.5694577668728948e-10,0.0,53459.1,0.0,0.0,0.0
2021-01-17,2795432.1618162636,0.0,10844556.0,0.0,207799.58048145226,4.949866905246125e-11,0.0,54083.31,0.0,0.0,0.0
2021-01-24,3590342.519564995,0.0,24080681.38,0.0,479974.86629777786,5.083984622178406e-11,0.0,85086.76,0.0,0.0,0.0
